Bjelovarsko.bilogorska,Brodsko.posavska,Dubrovačko.neretvanska,Grad.Zagreb,Istarska,Karlovačka,Koprivničko.križevačka,Krapinsko.zagorska,Ličko.senjska,Međimurska,Osječko.baranjska,Požeško.slavonska,Primorsko.goranska,Šibensko.kninska,Sisačko.moslavačka,Splitsko.dalmatinska,Varaždinska,Virovitičko.podravska,Vukovarsko.srijemska,Zadarska,Zagrebačka,Hrvatska,Datum
0,19,7,53,9,1,1,1,5,1,4,1,1,28,2,96,3,2,2,22,7,265,2020-08-20
2,7,12,62,7,3,7,4,1,0,7,2,4,15,7,104,16,1,4,19,22,306,2020-08-21
0,19,8,48,2,3,3,1,2,3,12,13,10,20,2,102,7,3,4,11,2,275,2020-08-22
1,11,5,32,2,1,0,1,3,2,9,1,2,1,4,46,3,0,0,12,0,136,2020-08-23
1,20,10,44,11,3,2,1,0,3,7,2,5,3,7,73,2,1,3,17,4,219,2020-08-24
3,11,8,58,9,1,6,3,4,0,8,3,20,33,3,136,11,0,7,15,19,358,2020-08-25
0,19,6,78,5,2,2,6,0,2,4,8,6,12,15,108,0,7,0,12,12,304,2020-08-26
1,16,4,88,10,2,4,0,5,4,9,1,18,13,0,115,9,0,18,31,9,357,2020-08-27
4,7,18,63,5,2,0,7,1,4,8,2,15,9,9,111,1,11,1,13,21,312,2020-08-28
0,6,17,44,1,1,3,8,1,1,4,18,5,19,1,95,3,2,10,17,6,262,2020-08-29
0,13,4,46,3,0,0,3,4,0,3,11,8,2,2,34,0,1,0,9,3,146,2020-08-30
1,1,12,29,3,0,4,2,0,2,1,16,11,1,1,42,0,2,3,7,7,145,2020-08-31
3,8,16,59,11,2,5,1,5,2,17,2,22,17,14,79,5,0,5,10,28,311,2020-09-01
5,6,20,90,5,2,3,8,2,6,7,13,12,12,7,114,3,6,8,21,19,369,2020-09-02
8,16,24,57,3,7,3,2,3,1,8,5,17,24,6,105,7,4,13,12,9,334,2020-09-03
35,6,20,32,7,4,11,7,8,1,8,4,14,6,12,97,1,2,2,16,18,311,2020-09-04
2,12,25,43,6,2,3,2,4,2,5,3,1,10,3,58,6,6,10,16,6,225,2020-09-05
0,13,8,27,3,0,0,4,1,0,2,0,8,0,0,30,3,3,0,9,6,117,2020-09-06
6,4,19,30,8,9,5,5,8,2,6,16,6,1,8,38,0,4,3,14,12,204,2020-09-07
